Consumer complaint narrative,label
Ally Financial Auto reported to all the credit bureau 's that I was late on a payment for the month of XXXX when my XXXX Payment was n't even due for another 2 weeks. I am in the process of going to settlement on a house but can not due to my and my wifes credit scores took a dive. after calling every day to get them to fix it they keep telling me it will be fixed when they report at the end of the month. I over and over explained to them that I do n't have till the end of the month. I only have a week before settlement. will not help or work with me at all.,Consumer Loan
My name is XXXX XXXX and I have been harrassed by Exter Finance for over 7 months of non paymnet and asked for more money over the phone againt my account after proven I never missed a payment but has in fact over paid on my account. All phone calls are recorded and their are managers stating I have overage amounts waiting on my account but each day they were calling like XXXX times a day an sending threatening documentation to repossess my vehicle which I told them was stressing me out they did not care. I have given them every fax from my bank showing over payment from bill pay an yet they do not update my account but continue to harass me. I would like this stop and my account reported to XXXX bureaus as always being in good standing as well as reflecting on my statements of over payment. I think I should also be compensated for there neglect to human negotiations an respect for me as they attracted my character and integrity. My payment is only XXXX ... I have alays over paid.,Consumer Loan
"i took a loan out from XXXX. i became unemployed we agreed to make XXXX installments bi-weekly. they than came back and offered me a XXXX installment with deferred until XXXX/XXXX/2015. i agreed but could not open the file to e-sign. i sent an email agreeing to the terms. and they took my XXXX but loan.me said because i did not sign they were going to take another XXXX out of my checking account. i ran down to the bank closed my accounts and reopened. this was a verbal agreement which was followed up by an email agreement. this agreement became binding at the point they took my 300.00 dollars. 

they constantly call me even after i have asked them not to. 

XXXX XXXX",Consumer Loan
"Filled out a pre-qualification form, was advised checking to be qualified would not affect my credit, unless I applied for the loan. After filling out the form, the next page asked for more information, but did not indicate that I was not prequalified and filling out the extended form would be a hard pull. 

Secondly, was not informed ahead of time that I was applying for a vehicle title loan, of which I am not interested in.",Consumer Loan
"XXXX XXXX XXXX, XX/XX/2015On XX/XX/XXXX I sent you this complaint with photos and other evidence. You sent me an answer but not a number or any other information. I am sending you just the letter and hope you give instructions to go on. Thank youConsumer Financial Protection Bureau. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XX/XX/2015XX/XX/XXXX I received a bill from XXXX XXXX XXXX XXXX. 
located at XXXX XXXX XXXX , XXXX, XXXX XXXXRe Claim XXXX Lexus CT 200H Lease # XXXX Aptrack # XXXXThey claimed the bill was for repairs when I returned a leased 2011 Lexus CT 200H. 
XXXX ( parts ), XXXX ( body labor ), XXXX ( paint labor ), XXXX ( paint supplies ) and XXXX ( body supplies ). The total was {$4.00}. 

I protested and XXXX lowered the charges to {$2.00}. XXXX to be paid in in three installments of {$890.00}. I finished paying XX/XX/XXXX. 

There was the arbitration option that I could not take because I had several tripsahead of me. XXXX had threatened to hurt my excellent credit history. 

I am still very upset because the car had been inspected by an expert from XXXX just before I returned it and he noted on his report ( enclosed ) : "" car condition : "" EXCELLENT "". He also took pictures ( enclosed ). 
I had made all the repairs recommended by XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX for the amount estimated by XXXX. The check from XXXX was sent directly to XXXX XXXX. 

The car had only XXXX miles on it. XXXX never gave me any credit for wear and tear nor for the low mileage. 
I have leased cars in XXXX for 21 years and was never charged more than few hundred dollars for repairs when I returned them. 

I am not sure if you can do anything for me but I am sure that I am not the only victim of XXXX 's abusive charges. 

Thank you,XXXX XXXX XXXX XXXXXXXXXXXX",Consumer Loan
"To Whom it may concern my name is XXXX XXXX I got a loan from a Payday/Installment Business Place in XXXX GA. When I took the loan out 3 mos ago they told me that it was an Personal installment loan and i agreed i didnt have to put any of my stuff up the man behind the counter told me he already took care of that. I asked him and he showed me a paper of many items on a list I told him that I dont own any of that and he told me dont worry that he makes up paper work all the time so he told me my XXXX XXXX payment will be around {$70.00} dollars because I am on SSI check I get once a month. I get {$680.00} to live on a month for myself and my younger son. I went into pay my XXXX payment and since i was 1 day early I had to pay a fee of {$110.00} that upset me I asked the lady where that man was that took my loan app. And she said that he is not with the company anymore so they moved me from a installment loan to a XXXX payday loan how could they do that without telling me until the last minute this is very wrong I could not pay {$700.00} back to them so the lady told me that she will keep my payments low. On XXXX XXXX XXXX I called Insta Loan in XXXX Ga, and told them that I am sending a friend in to pay my payment of {$70.00} I told them I was sending a little extra of {$80.00} dollars The lady was very very rude to me she said that since I was paying early that I had to pay {$90.00} and if I didnt pay that it will cost me each day of being late {$35.00} dollars. They have called me everyday for 10 days now and told me that I have no rights. They called me day and night and even on there own cellphones I asked XXXX XXXX the management why do they call me from their personal cellphone she said that is what they have to do. I called then yesterday XXXX XXXX XXXX and the lady at Insta Loan told me that if I did have {$200.00} she was so rude to My nervers are falling apart what can I do I am being charged double then I borrowed this is so wrong they are treating me like I am dirt. Today is XXXX XXXX XXXX I owe a payment of {$250.00} I could only pay {$100.00} dollars and I am afraid to go to the Insta Loan knowing that they will treat me very ugly.I offered to come into the Insta Loan office and they keep putting me off they refused to give me my original copy of my contract and I told them on XXXX XXXX XXXX that I was going to be in on Monday, XXXX XXXX to pay them {$80.00}. They keep putting me off I said to them if they did n't want me to come in on Monday that I will be there Tuesday XXXX XXXX. The Management XXXX XXXX told me not to come until Wednesday or Thursday.Today is Wednesday XXXX XXXX, XXXX, I called Insta Loan to find out what time would be best to come into Insta Loan on Thursday XXXX XXXX, They moved the date to today and then again my pay was supposed to be {$80.00} dollars now they raised it to {$85.00}. This is awful this company lies.. I had to sign some papers and they could change my original contract.My Nerves bad due to this company hassling me. Insta Loan ,XXXX XXXX GA XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX. 
Thank You.",Consumer Loan
"I leased a XXXX Toyota Rav 4 EV. The vehicle has been in service many times for ECU not functioning properly, Toyota has failed to fix it. My vehicle has been in service for 6 days at the XXXX Toyota location and they are claiming it is XXXX 's fault because they built the drive train for the vehicle. The dealership referred me to Toyota help line XXXX to open a case. I have called in XXXX times and even sat on hold for XXXX minutes to speak with anyone. Nobody has called me back and the operator claims they called me on both my numbers listed but I have never received a call and no missed calls show up in my call logs. I purchased an electric vehicle to be able to save time and money and now all I have is problems nobody can seem to fix.",Consumer Loan
Paypal has checked my credit for a loan with authorization I have called them faxed them a statement they have told me this would be removed as a hard inquiry against my credit report but it is still on my credit this was done in XXXX 2015,Consumer Loan
"I have received late fees on my account due to my auto loan company ( Flagship Credit ) not processing payments in a timely manner. I have mailed my payments TWO WEEKS before the due date and it takes them four weeks and sometimes longer to post the payment to my account. 

Also, I applied for a two month deferment and was told via phone it was approved and I could skip a months payment, so I did not not make a payment. Come to find out the deferment was not approved and they reported to my credit report LATE payments, I have called and called and finally I received an agent that saw what happened and went ahead and approved a two month deferment but she told me she could not correct the reporting to the credit bureaus. 

I have perfect credit with NO LATES or non-payments. I have now gone from a 100 % on time pay to a 97 % on time pay with the credit bureaus and I want the finance company to remove the late from my credit report as this is their error and not mine, I pay my bills on time. I also want the late fees removed from my billing as well, I should not have to pay late fees due to they untimely payment postings. 

I now call in my payment on its due date and have to pay a processing fee that they charge to ensure my payment is received on time which I should not have to do! They should be able to process a mail payment in a timely matter and not wait 4 - 5 weeks to post a payment every month.",Consumer Loan
"We made a electronic bill pay through our bank that was incorrect and subsequently overpaid the amount due. When we advised VW Credit of the problem they REFUSED to return our money. Even after being assured by our bank that the funds had cleared, VW refused to return the overpayment. VW can not be trusted. Still have not been repaid for the over payment.",Consumer Loan
Please investigate this company Loan Max XXXX XXXX SC. This company is scaming on people who are in need of help. I got a title loan for {$1200.00} in XXXX incriments and now they saying I owe almont XXXX this is n't fair they have a 300 % interest on their loans at the time of signing contract your thinking OK am going to pay this off real soon but what they feel to disclose is the daily interest on the money is what kills people and make it to where they ca n't afford to ever pay off the title loan. PLEASE HELP THIS IS CRAZY AND NEEDS TO BE ADDRESSED ASAP!!!!!!,Consumer Loan
I paid my vehicle loan company ( Santander consumer USA/ Drive Financial ) through my banks XXXX electronic funds transfer system on XXXX XXXX. XXXX XXXX I received a voice mail message stating that my car note was late. I immediately called the etrade who gave me a confirmation number provided to them from Santander. I then called Santander and was told that even though I had a confirmation number I would need to submit a copy of my bank statement showing the said transaction. I sent my bank statement on XXXX XXXX and an additional document showing all of my bill payments to Santander. After Santander received the documents I was told they were insufficient and I needed a copy of the electronic funds transfer or the check that etrade sent to them. I called etrade and was told that they have no way to provide me with either piece of documentation.,Consumer Loan
"Hello, I purchased a vehicle in 2014, which I was over charged for the actual worth of the vehicle. As a result the trade in value is double what it should be and I am in the whole about XXXX. The warranty I purchased says tat i purchased the vehicle for XXXX, but I actually traded in my deceased dads car, and also put down XXXX in cash. I would like a refund in the amount of XXXX. There is also a lot of minor problems I have experienced that were not disclosed to be at the time of purchase like the sway bar being lose, and the fuel sensor being bad. Something is wrong with the contract which has basically charged me more for the SUV than it is worth. This complaint also involves the dealership located off or XXXX XXXX at the XXXX Dealer.",Consumer Loan
"I signed a loan with Nissan Motors. I have not had a problem with this loan until recently. Unfortunately i had a total loss. However i was smart and purchased GAP. Since XXXX/XXXX/15 ive been trying to work with NIssan to get the loan taken care of. I have paid my account like always and i have been working with GAP to get their check issued out for the loan. This has been stressful. I have spoken to several customer service representative and customer relations and have been hung up on told different answers, have been talked to in a poor manner tranfered back into the call que. Also i have filed a XXXX complaint but the coropartion has failed to respond or do anything or even acknowledge the complaint. I have been trying to get copies of the warranty cancellation policy checks so i can sent to GAp so they can redo their portion due to the fact they under estimate what i would get back on the poiicies. I have called daily trying to get it resolved no one has helped and they are very rude. I think its sad that they cant even respond to a XXXX complaint. In the mean time another month has passed and i am now due for a payment when GAP has been trying to pay but due to the negligence of NIssan i am forced to pay even thoughi havent had to car in two months and im trying to resolve the issue. I just need some help i feel discouraged and stressed out.",Consumer Loan
"I obtained an auto loan with NATIONAL AUTO LENDERS , Inc. XX/XX/XXXX. 
They target individuals with low credit ratings and issue high interest auto loans. 
I questioned their high interest rates, my down payment and the original loan agreement, and was given the run around. This company is ripping people off daily. I made a {$7000.00} down payment made several advance payments for six month in advance. Principle loan amount stayed the same after 3 years. Contacted their office and questioned the interest rate and payout amount got the run around. After several attempts they told me that they had to send the request out to a different department and I would n't be able to speak to them directly. After no response to several request. I resulted in trading the vehicle in on XX/XX/XXXX in in order to get out of the bad loan. Worst customer service experience ever. 
I would like someone to investigate this company accounting practices and their affiliation with the local automobile dealerships.",Consumer Loan
"Funding at Toyota Financial Services in XXXX, XXXX. We are in charge of reviewing the lease agreements and contracts that come in from XXXX customers who buy or lease a vehicle. Within the State of XXXX, consumers are given a trade in sales tax credit for their prior owned or leased trades. XX/XX/2015 Toyota got word that the WI tax rules had changed but did not update their systems. When calculating the taxes, myself and a few others noticed that XXXX dealerships, XXXX XXXX XXXX, XXXX of XXXX and XXXX of XXXX had their customer 's taxes coming in at lower amounts. Upon further review, we discovered that it was because those dealers had updated their systems to reflect the new tax laws. 
This means that a new tax calculation worksheet needs to be created. 
It was, however was only used for those XXXX dealers. The rest of the dealers use the old one. 
This did not sit well with me and I provided examples to management who admitted that there was disparate treatment due to the fact that if you purchase or lease from any other dealer, you would be paying more per month in monthly sales taxes than if you were to pay at XXXX of these XXXX dealers. It is now a year and a half later and the dealers have not been instructed to update their systems and I have constantly been told that more information is coming. I am told we will be discussing this soon. 
In the meantime deals are being booked everyday under management 's eye knowing that there is disparate treatment being done in the State of XXXX. You have tax XXXX worksheets being done and if you are unlucky enough to buy from another dealer, you may be paying more per month in sales taxes. 
I am no longer employed by the company however, just as I did when I was employed, I knew this was wrong and I brought it to their attention. 
Now that I am free from speaking out against them per policy, this is to help all the people in WI know that us other small people are on their side and we do try. Corporate America just does not care.",Consumer Loan
"I bought a truck from XXXX and financed it through Santander. I paid for the additional GAP Insurance. In XXXX 2012, I was rear ended by another vehicle and my truck was totaled. The other driver was considered at-fault. His insurance and my gap insurance should have covered the entire balance of the truck. I find out a month ago that Santander claimed I had a balance left over and wrote it off as a repo. This is a False Repo that is now preventing me from purchasing a new vehicle. I need this fixed!",Consumer Loan
These are not my accounts.,"Credit reporting, repair, or other"
"I wrote three requests, the unverified accounts listed below still remain on my credit report in violation of Federal Law. Equifax is under FCRA law to obtain the of the original creditors documentation on file to verify that this information is mine and is correct. I have already filed a FTC Report and Police Report. Who verified these accounts? You have NOT provided me a copy of ANY original documentation ( a consumer contract with my signature on it ) as required under Section 609 ( a ) ( 1 ) ( A ) & Section 611 ( a ) ( 1 ) ( A ). Furthermore you have failed to provide the method of verification as required under Section 611 ( a ) ( 7 ). Please be advised that under Section 611 ( 5 ) ( A ) of the FCRA you are required to promptly DELETE all information which can not be verified. 
The law is very clear as to the Civil liability and the remedy available to me ( Section 616 & 617 ) if you fail to comply with Federal Law. I am a litigious consumer and fully intend on pursuing litigation in this matter to enforce my rights under the FCRA. Please remove the following accounts : XXXX XXXX XXXX XXXX XXXX, XXXX XXXX XXXX   XXXX","Credit reporting, repair, or other"
"I have filed a dispute in regards to the incorrect information that's on my credit report. Which relates to late payments. It has been well over 30 days, and I haven't received any investigation results. Listed below are the dates and amounts. 

Credit Bureau : XXXX  XXXX XXXX XX/XX/2019 XX/XX/2019 XXXX XXXX Monthly Payments XXXX XXXX XXXX XXXX  XX/XX/2019 XX/XX/2019 XX/XX/2019 XXXX XXXX  Monthly Payments XXXX XXXX XXXX XXXX   XX/XX/2019 XX/XX/2019 XXXX XXXX Monthly Payments XXXX/XXXX  XX/XX/201XXXX XXXX XXXX  Monthly Payments","Credit reporting, repair, or other"
There are five closed accounts from XXXX on my credit reports still that were closed in XXXX and XXXX. They are hurting my score and I have asked several times over the phone and in writing for them to be removed. The accounts have been resolved or paid for in other ways and there is no bearing for them to continue to remain on the account.,"Credit reporting, repair, or other"
"On XX/XX/2018 XXXX XXXX and XXXX XXXX were sent letters of validation via certified mail. The return receipts show XXXX XXXX 's letter was received by XX/XX/2018 and XXXX XXXX letter was received by XX/XX/2018. I heard no response from XXXX XXXX   until XXXX XXXX-which you can find in the attachments they provided in my last complaint made to them. Well pass the 30 days allotted by federal law to respond to a debt validation letter. XXXX XXXX sent a letter dated XX/XX/2018 but the post mark date reflects it being in the post office 's possession XX/XX/2018, per the corrected post mark date made by the postal service. In the envelope sent by XXXX XXXX they were requesting additional information 29 days after receiving the VOD letter and waited almost a week to send the letter off, which also shows lack of priority and willingness to follow federal law which states the company has 30 days from the date the letter is received to postmark a response. I filed a CFPB complaint and have contacted the 3 major credit reporting agencies of this neglect and the items still remain.","Credit reporting, repair, or other"
"I Mr.XXXX XXXX is a victim of identity theft and accounts have been opened in my name as a result of identity theft ... 
XXXX  XXXX account # XXXXxxxxxxxxxxx opened XX/XX/XXXX amount {$23000.00}. 
Next account XXXX  XXXX original creditor XXXX XX/XX/XXXX amount {$750.00} And there is Inquiries : XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX/XXXX XX/XX/XXXX","Credit reporting, repair, or other"
"I notified Experian of an inaccuracy on my report by national credit adjust. This same account was reported to Experian by another company, XXXX XXXX XXXX XXXX which was deleted on XX/XX/2019 because it was proven invalid. Experian created what they called an investigation which lead to the incorrect/fraud info to remain on my report after they deleted this same info by another collection agency previously. This information is completely false and should not remain on my credit. Please help!","Credit reporting, repair, or other"
"I decided to pull my credit because every single time I would apply for a credit card I would get denied. To the best of my knowledge I have always paid my bills on time. So, I know for a fact that these things showing on my report do not belong to me. These accounts were fraudulently made without my consent. Please remove these accounts from my report as soon as possible. XXXX {$3100.00} XXXX  XXXX {$1100.00} XXXX XXXX {$220.00}","Credit reporting, repair, or other"
XXXX and Transunion are reporting incorrectly that I am 60 120 days past due on the SECURITY partial account numbers XXXX. This account reports a {$0.00} balance and {$0.00} past due. ( Please see pages 14 17 of the attached credit report. ) This incorrect reporting is harming my credit score. Please keep in mind that it is impossible to be late on accounts where nothing is owed and nothing is past due.,"Credit reporting, repair, or other"
"I when to pull out my credit report last year and I found out that I have three account from XXXX XXXX XXXX XXXX which those are not my debt and start sending letter to collection agency and never get any answer  back from them. 
I also contacted Equifax+XXXX XXXX+ XXXX and no answer, trying to resolve this matter but no help from those Credit reporting agency","Credit reporting, repair, or other"
"On XX/XX/XXXX, I received a personal loan from the XXXX XXXX, XXXX branch of XXXX XXXX XXXX. On XX/XX/XXXX, my wife and I filed Chapter XXXX Bankruptcy which included that loan. The bankruptcy was completed on XX/XX/XXXX, and the loan is being properly listed on my credit report as Chapter XXXX Bankruptcy. 

However there is another loan listed on my credit report under Mariner Finance. It was also reportedly issued on XX/XX/XXXX, with a last payment made date of XX/XX/XXXX, the exact dates reported by XXXX XXXX XXXX. This loan is being reported as Unpaid Balance Charged Off. I have never applied for or received a loan from Mariner Finance, and certainly did not apply for or receive two entirely different loans on XX/XX/XXXX, as is currently claimed on my credit report. 

In XX/XX/XXXX, XXXX XXXX XXXX merged with Mariner Finance , LLC and on XX/XX/XXXX, the company became known as Mariner Finance. It appears that sometime between the merger and the final discharge of the debt, the account was transferred from XXXX XXXX XXXX to Mariner Finance, resulting in a new account number. That doesn't make it a new loan or change the fact it was XXXX, however. 

On XX/XX/XXXX, I submitted an online dispute with XXXX, identifying the duplication and noting this was likely the same loan reported twice. On XX/XX/XXXX, I received a reply claiming the accounts were verified as accurate. I'm not sure how it was verified, but someone, somewhere, is mistaken. 

I contacted the main office of Mariner Finance on XX/XX/XXXX, to correct this error. I spoke with XXXX and explained the problem, and was transferred to XXXX at the XXXX XXXX, XXXX branch. After I explained again, XXXX told me that her manager, XXXX, was out of the office but would return my call the following day. On the XXXX, my wife spoke with XXXX, and explained the situation yet again. He stated repeatedly there was nothing he could do and claimed if XXXX was saying it was verified, then it must be accurate. He suggested we contact an attorney if we had further questions. 

I am trying very hard to make sure my credit report is accurate and have hit a brick wall here. On XX/XX/XXXX, after my wife spoke with XXXX, I contacted XXXX by phone to dispute their results and still have not received any indication that they are doing anything to correct this problem.","Credit reporting, repair, or other"
"I was incarcerated for almost 10 years. I was released XXXX. All my information was stolen and accounts have been opened and debts accumulated beyond belief! This is a very frustrating process. This complaint is for XXXX  and XXXX XXXX signs. They have listed multiple accounts as well as bad checks. US Bank, XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX and a bad check to XXXX.","Credit reporting, repair, or other"
"These accounts below have the wrong balance. 

Open credit card accounts View all accounts XXXX XXXX Reported XX/XX/2018 278 % Balance : {$550.00} / {$200.00} XXXX XXXX XXXX Reported XX/XX/2018 123 % Balance : {$240.00} / {$200.00} XXXX XXXX Reported XX/XX/2018 122 % Balance : {$240.00} / {$200.00} XXXX  XXXX XXXX Reported XX/XX/2018 78 % Balance : {$230.00} / {$300.00} XXXX XXXX Reported XX/XX/2018 55 % Balance : {$550.00} / {$1000.00}","Credit reporting, repair, or other"
INQUIRIES / Hard pulls/Negative Also without my permission from XXXX XXXX on XXXX XXXX and Equifax XXXX XXXX XXXX XXXX,"Credit reporting, repair, or other"
"there have been an old inquiries on my Experian Report for over 2 years old that suppose to have been removed it's for XXXX card the removal day was suppose to be XX/XX/2018 the inquiry still on my report. 
I want it removed","Credit reporting, repair, or other"
"I submitted a dispute for a company named XXXX XXXX XXXX, this company says I have a balance. This company was under my bankruptcy and it has since been discharged.","Credit reporting, repair, or other"
